YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1922,-3.92,-1.53,3.99,6.17,13.58,16.18,16.50,15.84,11.84,4.94,2.74,2.16,-1.74,7.91,16.17,6.51,7.21
1923,1.97,-0.16,5.52,7.02,11.99,11.63,18.51,15.80,13.81,10.70,3.43,-2.51,1.32,8.18,15.31,9.31,8.53
1924,-3.66,-3.37,2.43,6.17,14.25,15.82,17.41,16.40,14.62,10.55,3.11,1.46,-3.18,7.62,16.54,9.43,7.60
1925,2.93,4.60,2.07,8.73,15.35,15.02,19.41,17.58,11.64,8.36,2.35,-0.72,3.00,8.72,17.34,7.45,9.12
1926,-0.35,3.44,3.77,10.64,11.83,15.13,19.12,17.06,14.98,7.85,6.79,1.53,0.79,8.75,17.10,9.87,9.13
1927,2.21,0.70,7.17,7.09,10.39,14.13,18.94,17.56,14.19,9.13,1.96,-3.37,1.48,8.22,16.88,8.43,8.75
1928,1.05,2.29,3.05,7.93,10.53,13.95,18.30,16.16,13.18,9.05,6.95,-0.98,-0.01,7.17,16.14,9.73,8.26
1929,-4.79,-10.83,2.52,4.68,13.97,14.57,17.92,18.17,15.83,10.16,5.22,3.25,-5.53,7.06,16.89,10.40,7.20
1930,1.97,-0.01,4.22,9.31,12.75,18.73,17.20,16.25,13.42,9.19,5.55,0.16,1.74,8.76,17.39,9.39,9.32
1931,-0.24,-1.20,0.28,5.93,16.42,15.97,18.29,16.81,11.54,7.65,4.16,0.54,-0.43,7.54,17.02,7.78,7.98
1932,1.13,-1.66,0.68,8.03,13.98,14.67,19.74,19.72,15.26,9.20,4.09,0.53,0.00,7.56,18.04,9.52,8.78
1933,-3.54,-0.29,5.70,6.81,12.63,15.63,19.03,17.40,14.08,8.88,2.70,-3.81,-1.10,8.38,17.35,8.55,8.30
1934,0.91,2.34,5.43,11.28,14.34,17.63,19.09,17.77,16.61,10.41,4.73,3.87,-0.19,10.35,18.16,10.58,9.73
1935,-0.82,2.26,2.94,8.52,10.97,18.35,18.38,17.21,14.73,9.21,5.47,0.34,1.77,7.48,17.98,9.80,9.26
1936,2.76,-0.28,5.09,7.25,13.57,17.56,18.54,17.12,13.85,6.51,3.82,1.55,0.94,8.64,17.74,8.06,8.84
1937,-3.43,1.82,3.31,8.85,16.48,17.58,17.92,18.35,14.37,10.52,3.19,-0.95,-0.02,9.55,17.95,9.36,9.21
1938,1.35,1.71,7.93,6.11,11.89,16.44,18.47,19.63,14.54,9.50,7.67,-1.82,0.70,8.64,18.18,10.57,9.52
1939,2.55,2.79,2.13,9.31,11.30,16.91,18.48,19.40,14.59,6.60,5.13,-1.52,1.17,7.58,18.26,8.77,8.95
1940,-9.81,-7.35,2.01,8.41,12.57,18.10,17.54,15.31,12.30,8.04,5.57,-2.50,-6.23,7.66,16.98,8.64,6.76
1941,-6.80,-0.62,3.18,5.73,10.26,16.67,19.53,15.83,12.60,8.40,1.35,1.51,-3.31,6.39,17.34,7.45,6.97
1942,-7.64,-5.25,-0.05,7.83,12.83,14.21,16.79,18.97,15.71,10.87,3.54,2.30,-3.79,6.87,16.66,10.04,7.44
1943,-1.16,3.35,6.26,10.00,12.90,15.44,18.29,19.29,14.53,10.67,2.15,-0.22,1.50,9.72,17.67,9.12,9.50
1944,3.00,-0.06,1.63,8.99,12.33,15.94,19.22,21.20,14.13,9.23,4.60,-1.18,0.91,7.65,18.79,9.32,9.17
1945,-3.66,3.67,6.53,999.90,999.90,999.90,999.90,999.90,999.90,999.90,3.95,0.85,-0.39,999.90,999.90,999.90,999.90
1946,-1.55,1.91,3.42,10.60,15.41,15.80,19.97,17.10,14.80,6.68,3.54,-2.83,0.40,9.81,17.62,8.34,9.04
1947,-5.68,-8.97,1.43,9.83,15.86,19.14,19.56,18.77,18.22,7.94,4.81,1.51,-5.83,9.04,19.16,10.32,8.17
1948,2.14,-0.17,5.48,11.20,14.55,16.96,17.64,17.75,15.54,8.96,4.22,1.24,1.16,10.41,17.45,9.57,9.65
1949,1.02,1.74,2.21,10.77,13.97,14.67,18.21,17.97,17.63,10.95,3.85,3.19,1.33,8.98,16.95,10.81,9.52
1950,-2.09,2.02,4.90,7.59,14.92,17.66,18.09,18.81,13.46,8.17,4.48,-1.32,1.04,9.14,18.19,8.70,9.27
1951,0.50,2.12,2.23,8.10,12.24,17.09,18.20,19.06,15.81,8.79,6.82,3.53,0.43,7.52,18.12,10.47,9.14
